id,name,list_price,type,categ_id/id,sale_ok,available_in_pos,barcode,default_code,uom_id/id
product_p_49180302,耶加雪夫,445,product,wuchang_comm_incub.categ_beans,True,True,,P_49180302,uom.product_uom_unit
product_p_49180310,黃金曼特寧,480,product,wuchang_comm_incub.categ_beans,True,True,,P_49180310,uom.product_uom_unit
product_p_49180328,精選曼巴,280,product,wuchang_comm_incub.categ_beans,True,True,,P_49180328,uom.product_uom_unit
product_p_49180319,招牌咖啡豆,250,product,wuchang_comm_incub.categ_beans,True,True,,P_49180319,uom.product_uom_unit
product_p_49180337,濾掛 咖啡禮盒(10入),350,product,wuchang_comm_incub.categ_drip_bag,True,True,,P_49180337,uom.product_uom_unit
product_p_49180346,濾掛 隨身包,40,product,wuchang_comm_incub.categ_drip_bag,True,True,,P_49180346,uom.product_uom_unit
custom_extra_26159949,大杯+30元,30,consu,wuchang_comm_incub.categ_custom_extra,True,True,,QC_OI_26159949,uom.product_uom_unit
custom_extra_26159950,冰沙+10元,10,consu,wuchang_comm_incub.categ_custom_extra,True,True,,QC_OI_26159950,uom.product_uom_unit
custom_extra_26159971,大杯+35元,35,consu,wuchang_comm_incub.categ_custom_extra,True,True,,QC_OI_26159971,uom.product_uom_unit
custom_extra_26159959,大杯+40元,40,consu,wuchang_comm_incub.categ_custom_extra,True,True,,QC_OI_26159959,uom.product_uom_unit
custom_extra_26159961,大杯+5元,5,consu,wuchang_comm_incub.categ_custom_extra,True,True,,QC_OI_26159961,uom.product_uom_unit
custom_extra_26159962,大杯+10元,10,consu,wuchang_comm_incub.categ_custom_extra,True,True,,QC_OI_26159962,uom.product_uom_unit
custom_extra_26159963,大杯+15元,15,consu,wuchang_comm_incub.categ_custom_extra,True,True,,QC_OI_26159963,uom.product_uom_unit
custom_extra_26159966,火腿起司+15元,15,consu,wuchang_comm_incub.categ_custom_extra,True,True,,,uom.product_uom_unit
custom_extra_26159970,大杯+25元,25,consu,wuchang_comm_incub.categ_custom_extra,True,True,,QC_OI_26159970,uom.product_uom_unit
custom_extra_26159969,一磅+400元,400,consu,wuchang_comm_incub.categ_custom_extra,True,True,,QC_OI_26159969,uom.product_uom_unit
custom_extra_26159974,一磅+270元,270,consu,wuchang_comm_incub.categ_custom_extra,True,True,,QC_OI_26159974,uom.product_uom_unit
custom_extra_26159975,一磅+260元,260,consu,wuchang_comm_incub.categ_custom_extra,True,True,,QC_OI_26159975,uom.product_uom_unit
custom_extra_26159976,一磅+230元,230,consu,wuchang_comm_incub.categ_custom_extra,True,True,,QC_OI_26159976,uom.product_uom_unit
custom_extra_26159970_dup,大杯+20元,20,consu,wuchang_comm_incub.categ_custom_extra,True,True,,QC_OI_26159970,uom.product_uom_unit
custom_extra_lattee_plus_60,拿鐵Latte coffee+60元,60,consu,wuchang_comm_incub.categ_custom_extra,True,True,,,uom.product_uom_unit
custom_extra_cappuccino_plus_60,卡布奇諾+60元,60,consu,wuchang_comm_incub.categ_custom_extra,True,True,,,uom.product_uom_unit
custom_extra_black_coffee_plus_40,黑咖啡black coffee+40元,40,consu,wuchang_comm_incub.categ_custom_extra,True,True,,,uom.product_uom_unit
custom_extra_no_ice_quick_cool_plus_15,無冰瞬間冷卻+15元,15,consu,wuchang_comm_incub.categ_custom_extra,True,True,,,uom.product_uom_unit
custom_extra_double_paper_cup_plus_3,雙層紙杯(限外帶)+3元,3,consu,wuchang_comm_incub.categ_custom_extra,True,True,,,uom.product_uom_unit
custom_extra_l_sicily_plus_25,L西西里+25元,25,consu,wuchang_comm_incub.categ_custom_extra,True,True,,,uom.product_uom_unit
