path	bucket	owner	decision	reason
.local_hold/local_agent_gate_residual_20260607_163047/README_HOLD.md	LOCAL_HOLD_RECORD	LOCAL_HOLD_WORKCELL	REVIEW_INDEX_ONLY	local hold material
.local_hold/local_agent_gate_residual_20260607_163047/_codex/CODEX_MINIMAL_PROMPT_W7TP_GTS.md	LOCAL_HOLD_RECORD	LOCAL_HOLD_WORKCELL	REVIEW_INDEX_ONLY	local hold material
.local_hold/local_agent_gate_residual_20260607_163047/evidence/codex/w7tp_codex_gate_20260607_143904.md	LOCAL_HOLD_RECORD	LOCAL_HOLD_WORKCELL	REVIEW_INDEX_ONLY	local hold material
.local_hold/local_agent_gate_residual_20260607_163047/secret_scan.txt	LOCAL_HOLD_RECORD	LOCAL_HOLD_WORKCELL	REVIEW_INDEX_ONLY	local hold material
.local_hold/local_agent_gate_residual_20260607_163047/w7tp_codex_commit_selected.sh	LOCAL_HOLD_RECORD	LOCAL_HOLD_WORKCELL	REVIEW_INDEX_ONLY	local hold material
.local_hold/local_agent_gate_residual_20260607_163047/w7tp_codex_gate.py	LOCAL_HOLD_RECORD	LOCAL_HOLD_WORKCELL	REVIEW_INDEX_ONLY	local hold material
.local_hold/local_agent_gate_residual_20260607_163047/w7tp_codex_gate.sh	LOCAL_HOLD_RECORD	LOCAL_HOLD_WORKCELL	REVIEW_INDEX_ONLY	local hold material
.local_hold/local_agent_gate_residual_20260607_163047/w7tp_runtime_evidence_commit_phase2c.sh	LOCAL_HOLD_RECORD	LOCAL_HOLD_WORKCELL	REVIEW_INDEX_ONLY	local hold material
Taiji_Hub/w7tp_runtime/__init__.py	NESTED_REPO_OR_DUPLICATE_HOLD	REPO_TOPOLOGY_WORKCELL	REVIEW_BEFORE_DELETE_OR_MERGE	nested Taiji_Hub inside repo
Taiji_Hub/w7tp_runtime/policy/hardwall.py	NESTED_REPO_OR_DUPLICATE_HOLD	REPO_TOPOLOGY_WORKCELL	REVIEW_BEFORE_DELETE_OR_MERGE	nested Taiji_Hub inside repo
Taiji_Hub/w7tp_runtime/policy/isolation.flag	NESTED_REPO_OR_DUPLICATE_HOLD	REPO_TOPOLOGY_WORKCELL	REVIEW_BEFORE_DELETE_OR_MERGE	nested Taiji_Hub inside repo
Taiji_Odoo/addons/wuchang_pos_topology/__init__.py	ODOO_DEV_CANDIDATE	ODOO_DEV_WORKCELL	STATIC_REVIEW_BEFORE_COMMIT	Odoo addon candidate
Taiji_Odoo/addons/wuchang_pos_topology/__manifest__.py	ODOO_DEV_CANDIDATE	ODOO_DEV_WORKCELL	STATIC_REVIEW_BEFORE_COMMIT	Odoo addon candidate
Taiji_Odoo/addons/wuchang_pos_topology/data/res_company_topology.xml	ODOO_DEV_CANDIDATE	ODOO_DEV_WORKCELL	STATIC_REVIEW_BEFORE_COMMIT	Odoo addon candidate
Taiji_Odoo/addons/wuchang_pos_topology/models/__init__.py	ODOO_DEV_CANDIDATE	ODOO_DEV_WORKCELL	STATIC_REVIEW_BEFORE_COMMIT	Odoo addon candidate
docs/project/main_untracked_classification_20260620/untracked_all.txt	OTHER_REVIEW	HUMAN_REVIEW	HOLD_CLASSIFY_ONLY	unmatched path
evidence/verification/git_commit_gate_final_20260607_120859/diff_check.txt	EVIDENCE_VERIFICATION_LEDGER	EVIDENCE_LEDGER_WORKCELL	REVIEW_COMMIT_OR_ARCHIVE	verification evidence
evidence/verification/git_commit_gate_final_20260607_120859/secret_hits.txt	EVIDENCE_VERIFICATION_LEDGER	EVIDENCE_LEDGER_WORKCELL	REVIEW_COMMIT_OR_ARCHIVE	verification evidence
evidence/verification/git_commit_gate_final_20260607_120859/staged_files.txt	EVIDENCE_VERIFICATION_LEDGER	EVIDENCE_LEDGER_WORKCELL	REVIEW_COMMIT_OR_ARCHIVE	verification evidence
evidence/verification/git_commit_gate_final_20260607_121134/secret_hits.txt	EVIDENCE_VERIFICATION_LEDGER	EVIDENCE_LEDGER_WORKCELL	REVIEW_COMMIT_OR_ARCHIVE	verification evidence
evidence/verification/git_commit_gate_final_after_wsfix_20260607_121107/secret_hits.txt	EVIDENCE_VERIFICATION_LEDGER	EVIDENCE_LEDGER_WORKCELL	REVIEW_COMMIT_OR_ARCHIVE	verification evidence
evidence/verification/git_final_stage_gate_20260607_120102/existing_targets.txt	EVIDENCE_VERIFICATION_LEDGER	EVIDENCE_LEDGER_WORKCELL	REVIEW_COMMIT_OR_ARCHIVE	verification evidence
evidence/verification/git_final_stage_gate_20260607_120102/report.txt	EVIDENCE_VERIFICATION_LEDGER	EVIDENCE_LEDGER_WORKCELL	REVIEW_COMMIT_OR_ARCHIVE	verification evidence
evidence/verification/git_final_stage_gate_20260607_120102/secret_scan.txt	EVIDENCE_VERIFICATION_LEDGER	EVIDENCE_LEDGER_WORKCELL	REVIEW_COMMIT_OR_ARCHIVE	verification evidence
evidence/verification/git_final_stage_gate_20260607_120102/targets.txt	EVIDENCE_VERIFICATION_LEDGER	EVIDENCE_LEDGER_WORKCELL	REVIEW_COMMIT_OR_ARCHIVE	verification evidence
evidence/verification/git_precommit_gate_20260607_120235/cached_secret_scan.txt	EVIDENCE_VERIFICATION_LEDGER	EVIDENCE_LEDGER_WORKCELL	REVIEW_COMMIT_OR_ARCHIVE	verification evidence
